row,doc_id,chunk_id
176,022c930c18687f91,022c930c18687f91_00120
177,022c930c18687f91,022c930c18687f91_00121
178,022c930c18687f91,022c930c18687f91_00122
179,022c930c18687f91,022c930c18687f91_00123
180,022c930c18687f91,022c930c18687f91_00124
181,022c930c18687f91,022c930c18687f91_00125
182,022c930c18687f91,022c930c18687f91_00126
183,022c930c18687f91,022c930c18687f91_00127
184,022c930c18687f91,022c930c18687f91_00128
185,022c930c18687f91,022c930c18687f91_00129
186,022c930c18687f91,022c930c18687f91_00130
187,022c930c18687f91,022c930c18687f91_00131
188,022c930c18687f91,022c930c18687f91_00132
189,022c930c18687f91,022c930c18687f91_00133
190,022c930c18687f91,022c930c18687f91_00134
191,022c930c18687f91,022c930c18687f91_00135
192,022c930c18687f91,022c930c18687f91_00136
193,022c930c18687f91,022c930c18687f91_00137
194,022c930c18687f91,022c930c18687f91_00138
195,022c930c18687f91,022c930c18687f91_00139
196,022c930c18687f91,022c930c18687f91_00140
197,022c930c18687f91,022c930c18687f91_00141
198,022c930c18687f91,022c930c18687f91_00142
199,022c930c18687f91,022c930c18687f91_00143
200,022c930c18687f91,022c930c18687f91_00144
201,022c930c18687f91,022c930c18687f91_00145
202,022c930c18687f91,022c930c18687f91_00146
203,022c930c18687f91,022c930c18687f91_00147
204,022c930c18687f91,022c930c18687f91_00148
205,022c930c18687f91,022c930c18687f91_00149
206,022c930c18687f91,022c930c18687f91_00150
207,02456bffdb59d512,02456bffdb59d512_00000
208,02456bffdb59d512,02456bffdb59d512_00001
209,0266d2fe4fd54289,0266d2fe4fd54289_00000
210,0266d2fe4fd54289,0266d2fe4fd54289_00001
211,0266d2fe4fd54289,0266d2fe4fd54289_00002
212,0293fdef24d89c59,0293fdef24d89c59_00000
213,0293fdef24d89c59,0293fdef24d89c59_00001
214,0293fdef24d89c59,0293fdef24d89c59_00002
215,0293fdef24d89c59,0293fdef24d89c59_00003
216,0293fdef24d89c59,0293fdef24d89c59_00004
217,0293fdef24d89c59,0293fdef24d89c59_00005
218,0293fdef24d89c59,0293fdef24d89c59_00006
219,0293fdef24d89c59,0293fdef24d89c59_00007
220,0293fdef24d89c59,0293fdef24d89c59_00008
221,0293fdef24d89c59,0293fdef24d89c59_00009
222,0293fdef24d89c59,0293fdef24d89c59_00010
223,0293fdef24d89c59,0293fdef24d89c59_00011
224,0293fdef24d89c59,0293fdef24d89c59_00012
225,0293fdef24d89c59,0293fdef24d89c59_00013
226,0293fdef24d89c59,0293fdef24d89c59_00014
227,0293fdef24d89c59,0293fdef24d89c59_00015
228,0293fdef24d89c59,0293fdef24d89c59_00016
229,0293fdef24d89c59,0293fdef24d89c59_00017
230,0293fdef24d89c59,0293fdef24d89c59_00018
231,0293fdef24d89c59,0293fdef24d89c59_00019
232,0293fdef24d89c59,0293fdef24d89c59_00020
233,0293fdef24d89c59,0293fdef24d89c59_00021
234,0293fdef24d89c59,0293fdef24d89c59_00022
235,0293fdef24d89c59,0293fdef24d89c59_00023
236,0293fdef24d89c59,0293fdef24d89c59_00024
237,0293fdef24d89c59,0293fdef24d89c59_00025
238,0293fdef24d89c59,0293fdef24d89c59_00026
239,0293fdef24d89c59,0293fdef24d89c59_00027
240,0293fdef24d89c59,0293fdef24d89c59_00028
241,0293fdef24d89c59,0293fdef24d89c59_00029
242,0293fdef24d89c59,0293fdef24d89c59_00030
243,0293fdef24d89c59,0293fdef24d89c59_00031
244,0293fdef24d89c59,0293fdef24d89c59_00032
245,0293fdef24d89c59,0293fdef24d89c59_00033
